gdp,gni,date,series,gdp_capita,gni_capita
3531.0,3511.0,1947-01-01,abs,719.0,715.0
3619.0,3580.0,1948-01-01,abs,726.0,718.0
3550.0,3400.0,1949-01-01,abs,699.0,669.0
5345.0,4765.0,1950-01-01,abs,1023.0,912.0
7520.0,6840.0,1951-01-01,abs,1409.0,1282.0
6350.0,6155.0,1952-01-01,abs,1153.0,1118.0
5780.0,5690.0,1953-01-01,abs,1013.0,997.0
,,1954-01-01,abs,,
4992.0,4756.0,1955-01-01,abs,824.0,785.0448717948718
5060.0,4842.0,1956-01-01,abs,809.0,774.0
5126.0,4948.0,1957-01-01,abs,816.0,788.0
4896.0,4758.0,1958-01-01,abs,753.0,731.0
5527.0,5316.0,1959-01-01,abs,825.0,793.0
5866.0,5616.0,1960-01-01,abs,723.0,692.0
5822.0,5633.0,1961-01-01,abs,695.0,672.0
6127.0,5985.0,1962-01-01,abs,708.0,692.0
7684.0,7513.0,1963-01-01,abs,861.0,842.0
8187.0,7960.0,1964-01-01,abs,893.0,868.0
9050.0,8776.0,1965-01-01,abs,959.0,930.0
9623.0,9344.0,1966-01-01,abs,989.0,960.0
9762.0,9647.0,1967-01-01,abs,976.0,964.0
10195.0,10074.0,1968-01-01,abs,994.0,983.0
11218.0,10939.0,1969-01-01,abs,1068.0,1042.0
11829.0,11644.0,1970-01-01,abs,1087.0,1070.0
12955.0,12592.0,1971-01-01,abs,1161.0,1128.0
14220.0,13842.0,1972-01-01,abs,1243.0,1210.0
18723.0,18064.0,1973-01-01,abs,1598.0,1541.0
22858.0,21861.0,1974-01-01,abs,1905.0,1822.0
22332.0,21606.0,1975-01-01,abs,1816.0,1757.0
28085.0,26988.0,1976-01-01,abs,2231.0,2144.0
32340.0,31064.0,1977-01-01,abs,2507.0,2408.0
37886.0,36186.0,1978-01-01,abs,2870.0,2741.0
46424.0,44354.0,1979-01-01,abs,3434.0,3281.0
53308.0,51390.0,1980-01-01,abs,3841.0,3703.0
57613.0,55602.0,1981-01-01,abs,4041.0,3900.0
62599.0,59710.0,1982-01-01,abs,4273.0,4075.0
70444.0,66033.0,1983-01-01,abs,4681.0,4388.0
79550.0,74182.0,1984-01-01,abs,5149.0,4801.0
77470.0,71962.0,1985-01-01,abs,4878.0,4531.0
71594.0,66818.0,1986-01-01,abs,4384.0,4092.0
81085.0,76104.0,1987-01-01,abs,4834.0,4537.0
92370.0,87286.0,1988-01-01,abs,5364.0,5069.0
105233.0,99330.0,1989-01-01,abs,5958.0,5624.0
119081.0,114017.0,1990-01-01,abs,6578.0,6299.0
135124.0,128324.0,1991-01-01,abs,7285.0,6919.0
150682.0,142676.0,1992-01-01,abs,7903.0,7483.0
172194.0,163928.0,1993-01-01,abs,8785.0,8363.0
195461.0,186049.0,1994-01-01,abs,9704.0,9237.0
222473.0,212095.0,1995-01-01,abs,10757.0,10255.0
253732.0,241931.0,1996-01-01,abs,11956.0,11399.0
281795.0,266699.0,1997-01-01,abs,12945.0,12251.0
283243.0,267923.0,1998-01-01,abs,12682.0,11996.0
300764.0,279878.0,1999-01-01,abs,13129.0,12217.0
356401.0,327492.0,2000-01-01,abs,15169.0,13939.0
352579.0,326956.0,2001-01-01,abs,14672.0,13606.0
383213.0,358152.0,2002-01-01,abs,15614.0,14593.0
