year,series,value
1947,Nominal GDP (RM mil),3531.0
1948,Nominal GDP (RM mil),2.5
1948,Nominal GDP (RM mil),3619.0
1949,Nominal GDP (RM mil),-1.9
1949,Nominal GDP (RM mil),3550.0
1950,Nominal GDP (RM mil),50.6
1950,Nominal GDP (RM mil),5345.0
1951,Nominal GDP (RM mil),40.7
1951,Nominal GDP (RM mil),7520.0
1952,Nominal GDP (RM mil),-15.6
1952,Nominal GDP (RM mil),6350.0
1953,Nominal GDP (RM mil),-9.0
1953,Nominal GDP (RM mil),5780.0
1954,Nominal GDP (RM mil),
1954,Nominal GDP (RM mil),0.0
1955,Nominal GDP (RM mil),-13.6
1955,Nominal GDP (RM mil),4992.0
1956,Nominal GDP (RM mil),1.4
1956,Nominal GDP (RM mil),5060.0
1957,Nominal GDP (RM mil),1.3
1957,Nominal GDP (RM mil),5126.0
1958,Nominal GDP (RM mil),-4.5
1958,Nominal GDP (RM mil),4896.0
1959,Nominal GDP (RM mil),12.9
1959,Nominal GDP (RM mil),5527.0
1960,Nominal GDP (RM mil),5866.0
1960,Nominal GDP (RM mil),6.1
1961,Nominal GDP (RM mil),-0.8
1961,Nominal GDP (RM mil),5822.0
1962,Nominal GDP (RM mil),5.2
1962,Nominal GDP (RM mil),6127.0
1963,Nominal GDP (RM mil),25.4
1963,Nominal GDP (RM mil),7684.0
1964,Nominal GDP (RM mil),6.5
1964,Nominal GDP (RM mil),8187.0
1965,Nominal GDP (RM mil),10.5
1965,Nominal GDP (RM mil),9050.0
1966,Nominal GDP (RM mil),6.3
1966,Nominal GDP (RM mil),9623.0
1967,Nominal GDP (RM mil),1.4
1967,Nominal GDP (RM mil),9762.0
1968,Nominal GDP (RM mil),10195.0
1968,Nominal GDP (RM mil),4.4
1969,Nominal GDP (RM mil),10.0
1969,Nominal GDP (RM mil),11218.0
1970,Nominal GDP (RM mil),11829.0
1970,Nominal GDP (RM mil),5.4
1970,Real GDP (RM mil),73709.68233609923
1971,Nominal GDP (RM mil),12955.0
1971,Nominal GDP (RM mil),9.5
1971,Real GDP (RM mil),10.0
1971,Real GDP (RM mil),81106.19877307191
1972,Nominal GDP (RM mil),14220.0
1972,Nominal GDP (RM mil),9.8
1972,Real GDP (RM mil),88720.80962899492
1972,Real GDP (RM mil),9.4
1973,Nominal GDP (RM mil),18723.0
1973,Nominal GDP (RM mil),31.7
1973,Real GDP (RM mil),11.7
