date,series,value
2015-01-01,Nominal GDP - abs,281643.0
2015-01-01,Real GDP - abs,282255.0
2015-04-01,Nominal GDP - abs,288307.0
2015-04-01,Nominal GDP - growth_qoq,2.4
2015-04-01,Real GDP - abs,288975.0
2015-04-01,Real GDP - growth_qoq,2.4
2015-07-01,Nominal GDP - abs,297422.0
2015-07-01,Nominal GDP - growth_qoq,3.2
2015-07-01,Real GDP - abs,297965.0
2015-07-01,Real GDP - growth_qoq,3.1
2015-10-01,Nominal GDP - abs,309569.0
2015-10-01,Nominal GDP - growth_qoq,4.1
2015-10-01,Real GDP - abs,307745.0
2015-10-01,Real GDP - growth_qoq,3.3
2016-01-01,Nominal GDP - abs,295016.0
2016-01-01,Nominal GDP - growth_qoq,-4.7
2016-01-01,Nominal GDP - growth_yoy,4.7
2016-01-01,Real GDP - abs,294329.0
2016-01-01,Real GDP - growth_qoq,-4.4
2016-01-01,Real GDP - growth_yoy,4.3
2016-04-01,Nominal GDP - abs,303738.0
2016-04-01,Nominal GDP - growth_qoq,3.0
2016-04-01,Nominal GDP - growth_yoy,5.4
2016-04-01,Real GDP - abs,301015.0
2016-04-01,Real GDP - growth_qoq,2.3
2016-04-01,Real GDP - growth_yoy,4.2
2016-07-01,Nominal GDP - abs,316737.0
2016-07-01,Nominal GDP - growth_qoq,4.3
2016-07-01,Nominal GDP - growth_yoy,6.5
2016-07-01,Real GDP - abs,311510.0
2016-07-01,Real GDP - growth_qoq,3.5
2016-07-01,Real GDP - growth_yoy,4.5
2016-10-01,Nominal GDP - abs,334206.0
2016-10-01,Nominal GDP - growth_qoq,5.5
2016-10-01,Nominal GDP - growth_yoy,8.0
2016-10-01,Real GDP - abs,322458.0
2016-10-01,Real GDP - growth_qoq,3.5
2016-10-01,Real GDP - growth_yoy,4.8
2017-01-01,Nominal GDP - abs,328713.0
2017-01-01,Nominal GDP - growth_qoq,-1.6
2017-01-01,Nominal GDP - growth_yoy,11.4
2017-01-01,Real GDP - abs,310744.0
2017-01-01,Real GDP - growth_qoq,-3.6
2017-01-01,Real GDP - growth_yoy,5.6
2017-04-01,Nominal GDP - abs,334692.0
2017-04-01,Nominal GDP - growth_qoq,1.8
2017-04-01,Nominal GDP - growth_yoy,10.2
2017-04-01,Real GDP - abs,318231.0
2017-04-01,Real GDP - growth_qoq,2.4
2017-04-01,Real GDP - growth_yoy,5.7
2017-07-01,Nominal GDP - abs,347646.0
2017-07-01,Nominal GDP - growth_qoq,3.9
2017-07-01,Nominal GDP - growth_yoy,9.8
2017-07-01,Real GDP - abs,330664.0
2017-07-01,Real GDP - growth_qoq,3.9
2017-07-01,Real GDP - growth_yoy,6.1
2017-10-01,Nominal GDP - abs,361259.0
2017-10-01,Nominal GDP - growth_qoq,3.9
2017-10-01,Nominal GDP - growth_yoy,8.1
2017-10-01,Real GDP - abs,341129.0
2017-10-01,Real GDP - growth_qoq,3.2
