date,unemployment_rate_pct,labour_force_000s
2010-01-01,3.5,12367.9
2010-02-01,3.5,12059.8
2010-03-01,3.5,12324.2
2010-04-01,3.0,12512.0
2010-05-01,3.3,12197.6
2010-06-01,3.6,12331.8
2010-07-01,3.3,12516.2
2010-08-01,3.1,12320.9
2010-09-01,3.1,12289.9
2010-10-01,2.7,12689.5
2010-11-01,3.3,12277.5
2010-12-01,3.2,12822.3
2011-01-01,3.3,12804.2
2011-02-01,3.0,12618.9
2011-03-01,2.9,12862.2
2011-04-01,3.0,12921.7
2011-05-01,3.1,12726.6
2011-06-01,3.2,12782.7
2011-07-01,3.0,12967.4
2011-08-01,3.1,12887.9
2011-09-01,3.2,12875.9
2011-10-01,3.0,12938.2
2011-11-01,3.1,12722.4
2011-12-01,3.1,13092.1
2012-01-01,3.1,13191.6
2012-02-01,3.1,13054.5
2012-03-01,3.0,13295.4
2012-04-01,3.0,13331.8
2012-05-01,2.9,13245.6
2012-06-01,3.2,13232.5
2012-07-01,3.1,13511.7
2012-08-01,2.6,13313.6
2012-09-01,3.2,13408.5
2012-10-01,3.2,13341.4
2012-11-01,2.9,13429.2
2012-12-01,3.1,13538.6
2013-01-01,3.4,13569.6
2013-02-01,3.0,13598.8
2013-03-01,3.2,13684.4
2013-04-01,3.0,13835.6
2013-05-01,3.2,13815.3
2013-06-01,2.8,14217.1
2013-07-01,3.0,14194.6
2013-08-01,3.1,14176.6
2013-09-01,3.1,14309.4
2013-10-01,3.3,14169.2
2013-11-01,3.4,14220.9
2013-12-01,3.1,14276.5
2014-01-01,3.3,14244.4
2014-02-01,3.2,14249.9
2014-03-01,3.0,14198.4
2014-04-01,2.9,14206.7
2014-05-01,2.8,14430.2
2014-06-01,2.8,14373.4
2014-07-01,2.8,14333.4
2014-08-01,2.7,14266.3
2014-09-01,2.6,14440.2
2014-10-01,2.6,14403.1
2014-11-01,2.6,14404.1
2014-12-01,3.1,14512.0
2015-01-01,3.1,14442.0
2015-02-01,3.2,14554.7
2015-03-01,3.0,14601.2
2015-04-01,3.0,14569.5
2015-05-01,3.1,14575.0
2015-06-01,3.2,14609.9
2015-07-01,3.2,14579.1
2015-08-01,3.2,14685.1
2015-09-01,3.3,14642.0
2015-10-01,3.3,14665.9
2015-11-01,3.2,14687.2
2015-12-01,3.4,14690.0
2016-01-01,3.4,14652.0
2016-02-01,3.4,14703.3
2016-03-01,3.5,14710.1
2016-04-01,3.5,14675.3
2016-05-01,3.4,14705.0
2016-06-01,3.4,14720.1
2016-07-01,3.5,14729.0
2016-08-01,3.5,14822.2
2016-09-01,3.5,14762.2
2016-10-01,3.5,14765.1
2016-11-01,3.4,14827.9
2016-12-01,3.5,14788.9
2017-01-01,3.4,14880.9
2017-02-01,3.4,14916.7
2017-03-01,3.4,14932.5
2017-04-01,3.4,14941.5
2017-05-01,3.4,14961.9
2017-06-01,3.4,15027.6
2017-07-01,3.5,15016.4
2017-08-01,3.4,15030.2
2017-09-01,3.4,15058.8
2017-10-01,3.4,15090.4
2017-11-01,3.3,15084.0
2017-12-01,3.3,15145.9
2018-01-01,3.4,15187.0
2018-02-01,3.3,15230.0
2018-03-01,3.3,15241.2
2018-04-01,3.3,15313.1
2018-05-01,3.3,15357.5
2018-06-01,3.4,15379.0
2018-07-01,3.4,15401.0
2018-08-01,3.4,15421.4
2018-09-01,3.3,15442.9
2018-10-01,3.3,15450.0
2018-11-01,3.3,15457.5
2018-12-01,3.3,15500.1
2019-01-01,3.3,15508.5
2019-02-01,3.3,15543.2
2019-03-01,3.4,15556.6
2019-04-01,3.4,15613.1
2019-05-01,3.3,15642.3
2019-06-01,3.3,15655.9
2019-07-01,3.3,15704.6
2019-08-01,3.3,15706.0
2019-09-01,3.3,15751.2
2019-10-01,3.2,15777.7
2019-11-01,3.2,15828.9
2019-12-01,3.3,15803.0
2020-01-01,3.2,15829.3
2020-02-01,3.3,15869.8
2020-03-01,3.8,15842.9
2020-04-01,5.0,15712.2
2020-05-01,5.3,15714.0
2020-06-01,4.9,15763.5
2020-07-01,4.7,15818.5
2020-08-01,4.7,15895.1
2020-09-01,4.6,15930.6
2020-10-01,4.7,15955.3
2020-11-01,4.8,15960.5
2020-12-01,4.8,15988.3
2021-01-01,4.9,16019.8
2021-02-01,4.8,16048.2
2021-03-01,4.7,16082.5
2021-04-01,4.6,16094.7
2021-05-01,4.5,16098.9
2021-06-01,4.8,16066.2
2021-07-01,4.8,16072.9
2021-08-01,4.6,16125.4
2021-09-01,4.5,16193.1
2021-10-01,4.3,16259.6
2021-11-01,4.3,16304.7
2021-12-01,4.2,16336.2
2022-01-01,4.2,16366.4
2022-02-01,4.1,16402.7
2022-03-01,4.1,16438.5
2022-04-01,3.9,16502.8
2022-05-01,3.9,16537.8
2022-06-01,3.8,16566.9
2022-07-01,3.7,16599.2
2022-08-01,3.7,16629.7
2022-09-01,3.6,16657.2
2022-10-01,3.6,16683.5
2022-11-01,3.6,16709.4
2022-12-01,3.6,16730.0
2023-01-01,3.6,16755.4
2023-02-01,3.5,16781.2
2023-03-01,3.5,16811.7
2023-04-01,3.5,16838.4
2023-05-01,3.5,16864.1
2023-06-01,3.4,16889.4
2023-07-01,3.4,16914.2
2023-08-01,3.4,16932.1
2023-09-01,3.4,16948.8
2023-10-01,3.4,16974.1
2023-11-01,3.3,17000.4
2023-12-01,3.3,17025.5
2024-01-01,3.3,16789.3
2024-02-01,3.3,16822.6
2024-03-01,3.3,16853.1
2024-04-01,3.3,16920.9
2024-05-01,3.3,16947.6
2024-06-01,3.3,16972.2
2024-07-01,3.3,16997.3
2024-08-01,3.2,17034.2
2024-09-01,3.2,17065.1
2024-10-01,3.2,17095.5
2024-11-01,3.2,17127.5
2024-12-01,3.1,17168.4
2025-01-01,3.1,17093.4
2025-02-01,3.1,17118.4
2025-03-01,3.1,17132.2
2025-04-01,3.0,17344.5
2025-05-01,3.0,17384.8
2025-06-01,3.0,17434.0
2025-07-01,3.0,17470.5
2025-08-01,3.0,17508.0
2025-09-01,3.0,17544.8
2025-10-01,3.0,17579.0
2025-11-01,2.9,17610.9
2025-12-01,2.9,17272.3
2026-01-01,2.9,17281.0
2026-02-01,2.9,17297.6
2026-03-01,2.9,17313.0
2026-04-01,3.0,17327.6
