Date,Seat,Type,State,Prev_Holder,Winner,Cand1_Name,Cand1_Party,Cand1_Alliance,Cand1_Votes,Cand1_Pct,Cand1_Swing,Cand2_Name,Cand2_Party,Cand2_Alliance,Cand2_Votes,Cand2_Pct,Cand2_Swing,Cand3_Name,Cand3_Party,Cand3_Alliance,Cand3_Votes,Cand3_Pct,Cand3_Swing,Turnout,Majority_Votes,Majority_Pct,Notes
2023-11-04,Jepak,State,Sarawak,GPS(PBB),GPS(PBB),Iskandar Turkee,PBB,GPS,9638,88.24,18.8,Stevenson Joseph Sumbang,PBK,,854,7.82,1.33,Chieng Lea Ping,ASPIRASI,,431,3.95,3.95,48.57,8784,,Death of incumbent
2023-12-02,Kemaman,Federal,Terengganu,PN(PAS),PN(PAS),Ahmad Samsuri Mokhtar,PAS,PN,64998,70.06,11.95,Raja Mohamed Affandi,Direct Member,BN,27778,29.94,-4.13,,,,0,0,0,65.76,37220,40.12,Seat vacated (vote buying)
2023-08-12,Kuala Terengganu,Federal,Terengganu,PN(PAS),PN(PAS),Ahmad Amzad Hashim,PAS,PN,68369,76.41,19.69,Azan Ismail,PKR,PH,21103,23.59,3.7,,,,0,0,0,73.34,47266,,Incumbent disqualified (corruption)
2023-10-07,Pelangai,State,Pahang,BN(UMNO),BN(UMNO),Amizar Abu Adam,UMNO,BN,7324,62.35,4.64,Kasim Samat,PAS,PN,4375,37.25,11.51,Haslihelmey D.Z.,IND,,47,0.4,0.4,72.12,2949,,Death of incumbent (plane crash)
2023-09-09,Pulai,Federal,Johor,PH(AMANAH),PH(AMANAH),Suhaizan Kayat,AMANAH,PH,48283,61.55,6.22,Zulkifli Jaafar,BERSATU,PN,29642,37.78,20.15,Samsudin M.F.,IND,,528,0.67,0.67,47.33,18641,,Death of incumbent Salahuddin
2023-09-09,Simpang Jeram,State,Johor,PH(AMANAH),PH(AMANAH),Nazri Abdul Rahman,AMANAH,PH,13844,56.54,15.6,Mohd Mazri Yahya,PAS,PN,10330,42.19,12.47,Jeganathan S.,IND,,311,1.27,1.27,60.85,3514,,Same day as Pulai
2024-05-11,Kuala Kubu Baharu,State,Selangor,PH(DAP),PH(DAP),Pang Sock Tao,DAP,PH,14000,57.21,2.81,Khairul Azhari Saut,BERSATU,PN,10131,41.4,2.07,Eris Nyau K.X.,IND,,188,0.77,0.77,61.51,3869,15.8,Hafizah Zainuddin (PRM) 152 votes 0.62%
2024-09-28,Mahkota,State,Johor,BN(UMNO),BN(UMNO),Syed Hussien S.A.,UMNO,BN,27995,79.21,33.35,Mohamad Haizan J.,BERSATU,PN,7347,20.79,-0.23,,,,0,0,0,53.84,20648,57.83,PH gave way to BN
2024-08-17,Nenggiri,State,Kelantan,PN(BERSATU),BN(UMNO),Mohd Azmawi F.A.G.,UMNO,BN,9091,61.35,14.61,Mohd Rizwadi I.,BERSATU,PN,5739,38.65,-14.61,,,,0,0,0,73.88,3352,22.7,FLIPPED! BN won PAS seat
2024-07-06,Sungai Bakap,State,Penang,PN(PAS),PN(PAS),Abidin Ismail,PAS,PN,14489,58.63,5.94,Joohari Ariffin,PKR,PH,10222,41.37,-5.94,,,,0,0,0,63.45,4267,17.26,PN increased majority
2025-04-26,Ayer Kuning,State,Perak,BN(UMNO),BN(UMNO),Mohamad Yusri Bakir,UMNO,BN,11065,60.7,21.97,Abdul Muhaimin M.,PAS,PN,6059,33.23,3.93,Bawani Kaniapan,PSM,,1106,6.07,3.57,58.06,5006,27.47,BN majority surged
2026-01-24,Kinabatangan,Federal,Sabah,BN(UMNO),BN(UMNO),Mohd Kurniawan N.M.,UMNO,BN,19852,75.09,17.66,Saddi Abdul Rahman,WARISAN,,5638,21.33,-21.29,Goldam Hamid,IND,,946,3.58,3.58,55.06,14214,53.76,GRS/PN did not contest
2026-01-24,Lamag,State,Sabah,BN(UMNO),BN(UMNO),Mohd Ismail Ayob,Direct,BN,7269,82.07,42.93,Mazliwati A.M.C.,WARISAN,,1588,17.93,14.5,,,,0,0,0,64.93,5681,64.14,Same day as Kinabatangan
