code,constituency,registered,winner,winner_votes,winner_pct,majority_votes,opponent,opponent_votes,opponent_pct,valid_votes,incumbent
P001,Perlis,,BN (UMNO),,Ind,,PN (PAS),"24,267",53.58%,"12,514",27.63%
P002,Perlis,,PH (PKR),,PH (PKR),,PN (BERSATU),"24,562",43.70%,"9,192",16.36%
P003,Perlis,,BN (UMNO),,BN (UMNO),,PN (PAS),"31,458",67.23%,"23,216",49.62%
P004,Kedah,,PH (BERSATU),,GTA (PEJUANG),,PN (BERSATU),"25,463",53.63%,"13,518",28.47%
P005,Kedah,,PH (BERSATU),,GTA (PEJUANG),,PN (PAS),"31,635",60.59%,"20,456",39.18%
P006,Kedah,,PH (BERSATU),,GTA (PEJUANG),,PN (BERSATU),"47,584",57.05%,"31,584",37.87%
P007,Kedah,,BN (UMNO),,BN (UMNO),,PN (PAS),"28,217",58.03%,"10,959",22.54%
P008,Kedah,,PH (AMANAH),,PH (AMANAH),,PN (PAS),"52,275",59.44%,"31,751",36.10%
P009,Kedah,,PH (PKR),,PH (PKR),,PN (PAS),"37,486",48.69%,"9,931",12.90%
P010,Kedah,,PH (PKR),,PH (PKR),,PN (PAS),"56,298",56.03%,"28,061",27.93%
P011,Kedah,,PN (PAS),,PN (PAS),,PN (PAS),"49,008",64.83%,"31,289",41.39%
P012,Kedah,,PN (PAS),,PN (PAS),,PN (PAS),"49,461",60.10%,"33,192",40.33%
P013,Kedah,,PN (PAS),,PN (PAS),,PN (PAS),"34,606",67.64%,"21,787",42.59%
P014,Kedah,,PH (PKR),,PH (PKR),,PN (BERSATU),"52,573",51.27%,"21,019",20.50%
P015,Kedah,,PH (PKR),,PH (PKR),,PH (PKR),"50,580",38.91%,"1,115",0.86%
P016,Kedah,,BN (UMNO),,BN (UMNO),,PN (PAS),"64,493",59.13%,"29,137",26.71%
P017,Kedah,,PH (PKR),,PH (PKR),,PN (BERSATU),"51,637",63.42%,"16,260",19.97%
P018,Kedah,,PH (PKR),,PH (PKR),,PN (BERSATU),"34,469",49.00%,"13,061",18.57%
P019,Kelantan,,GS (PAS),,BN (UMNO),,PN (PAS),"65,426",61.65%,"34,793",32.78%
P020,Kelantan,,GS (PAS),,PN (PAS),,PN (PAS),"53,933",68.57%,"38,270",48.65%
P021,Kelantan,,GS (PAS),,PN (PAS),,PN (PAS),"41,869",53.67%,"22,613",28.98%
P022,Kelantan,,GS (PAS),,PN (PAS),,PN (PAS),"44,444",68.21%,"30,717",47.15%
P023,Kelantan,,GS (PAS),,PN (PAS),,PN (PAS),"37,759",62.38%,"20,636",34.09%
P024,Kelantan,,GS (PAS),,PN (PAS),,PN (PAS),"55,654",68.38%,"40,847",50.19%
P025,Kelantan,,GS (PAS),,PN (PAS),,PN (PAS),"57,496",64.30%,"29,901",33.44%
P026,Kelantan,,BN (UMNO),,BN (UMNO),,PN (BERSATU),"40,542",64.49%,"23,107",36.76%
P027,Kelantan,,BN (UMNO),,PN (BERSATU),,PN (BERSATU),"54,266",77.87%,"44,485",63.84%
P028,Kelantan,,GS (PAS),,PN (PAS),,PN (PAS),"52,937",65.37%,"29,109",35.95%
P029,Kelantan,,BN (UMNO),,BN (UMNO),,PN (BERSATU),"35,603",54.68%,"10,154",15.59%
P030,Kelantan,,BN (UMNO),,PN (BERSATU),,PN (PAS),"27,072",63.03%,"12,464",29.02%
P031,Kelantan,,GS (PAS),,PN (PAS),,PN (PAS),"42,740",66.08%,"25,188",38.94%
P032,Kelantan,,BN (UMNO),,BN (UMNO),,PN (BERSATU),"21,826",45.12%,163,0.34%
P033,Terengganu,,BN (UMNO),,BN (UMNO),,PN (PAS),"49,569",58.07%,"18,666",21.87%
P034,Terengganu,,GS (PAS),,BN (UMNO),,PN (PAS),"50,768",59.85%,"19,032",22.43%
P035,Terengganu,,GS (PAS),,BN (UMNO),,PN (PAS),"56,697",64.70%,"29,765",33.97%
P036,Terengganu,,GS (PAS),,PN (PAS),,PN (PAS),"63,016",65.27%,"40,907",42.37%
P037,Terengganu,,GS (PAS),,PN (PAS),,PN (PAS),"73,115",67.04%,"41,796",38.32%
P038,Terengganu,,BN (UMNO),,PN (BERSATU),,PN (BERSATU),"42,910",59.59%,"15,734",21.85%
P039,Terengganu,,GS (PAS),,PN (PAS),,PN (PAS),"59,720",65.43%,"34,105",37.37%
P040,Terengganu,,GS (PAS),,PN (PAS),,PN (PAS),"65,714",58.11%,"27,179",24.03%
P041,Pulau Pinang,,BN (UMNO),,BN (UMNO),,PN (PAS),"28,604",41.27%,"2,867",4.14%
P042,Pulau Pinang,,BN (UMNO),,PN (BERSATU),,PN (BERSATU),"31,116",46.36%,"12,252",18.26%
P043,Pulau Pinang,,PH (DAP),,PH (DAP),,PH (DAP),"55,797",81.27%,"49,648",72.32%
P044,Pulau Pinang,,PH (PKR),,PH (PKR),,PN (PAS),"37,638",43.04%,"5,272",6.03%
P045,Pulau Pinang,,PH (DAP),,PH (DAP),,PH (DAP),"71,722",77.33%,"57,685",62.20%
P046,Pulau Pinang,,PH (PKR),,PH (PKR),,PH (PKR),"50,744",73.72%,"40,400",58.69%
P047,Pulau Pinang,,PH (PKR),,PN (BERSATU),,PH (PKR),"42,188",53.20%,"16,293",20.54%
P048,Pulau Pinang,,PH (DAP),,PH (DAP),,PH (DAP),"49,353",78.98%,"42,610",68.19%
P049,Pulau Pinang,,PH (DAP),,PH (DAP),,PH (DAP),"31,968",84.83%,"28,754",76.30%
P050,Pulau Pinang,,PH (DAP),,PH (DAP),,PH (DAP),"50,369",71.24%,"38,604",54.60%
P051,Pulau Pinang,,PH (DAP),,PH (DAP),,PH (DAP),"71,204",82.73%,"63,112",73.32%
P052,Pulau Pinang,,PH (PKR),,PH (PKR),,PH (PKR),"55,209",61.54%,"34,902",38.91%
P053,Pulau Pinang,,PH (PKR),,PH (PKR),,PH (PKR),"24,564",38.43%,"1,582",2.48%
P054,Perak,,BN (UMNO),,Vacant,,PN (BERSATU),"15,105",43.64%,"1,377",3.98%
P055,Perak,,BN (UMNO),,BN (UMNO),,BN (UMNO),"12,588",45.48%,879,3.18%
P056,Perak,,BN (UMNO),,PN (BERSATU),,PN (BERSATU),"28,350",54.65%,"11,598",22.36%
P057,Perak,,PH (AMANAH),,PH (AMANAH),,PN (PAS),"23,223",43.90%,"5,395",10.20%
P058,Perak,,BN (UMNO),,PN (BERSATU),,PN (PAS),"33,753",53.98%,"18,551",29.67%
P059,Perak,,BN (UMNO),,PN (BERSATU),,PN (BERSATU),"32,625",45.59%,"12,756",17.82%
P060,Perak,,PH (DAP),,PH (DAP),,PH (DAP),"47,098",55.56%,"25,529",30.12%
P061,Perak,,BN (UMNO),,BN (UMNO),,PN (BERSATU),"12,931",43.28%,"3,046",10.19%
P062,Perak,,PH (PKR),,PH (PKR),,PH (PKR),"21,637",41.89%,"1,846",3.57%
