ge,year,dissolution,polling_date,campaign_days,pm,winner,winner_seats,total_seats,turnout_pct,registered_voters
GE1,1959,27 Jun 1959,19 Aug 1959,35,Tunku Abdul Rahman,Alliance,74,104,73.34,"2,133,272"
GE2,1964,2 Mar 1964,25 Apr 1964,35,Tunku Abdul Rahman,Alliance,89,159,80.03,"2,681,895"
GE3,1969,20 Mar 1969,10 May 1969,35,Tunku Abdul Rahman,Alliance,74,144,73.59,"3,439,707"
GE4,1974,31 Jul 1974,24 Aug 1974,16,Abdul Razak,BN,135,154,75.01,"4,013,012"
GE5,1978,12 Jun 1978,8 Jul 1978,17,Hussein Onn,BN,130,154,75.30,"5,059,702"
GE6,1982,29 Mar 1982,22 Apr 1982,15,Mahathir,BN,132,154,74.39,"6,081,628"
GE7,1986,19 Jul 1986,3 Aug 1986,9,Mahathir,BN,148,177,69.97,"6,791,446"
GE8,1990,4 Oct 1990,21 Oct 1990,9,Mahathir,BN,127,180,72.00,"7,958,640"
GE9,1995,6 Apr 1995,25 Apr 1995,9,Mahathir,BN,162,192,68.00,"9,012,370"
GE10,1999,10 Nov 1999,29 Nov 1999,9,Mahathir,BN,148,193,71.19,"9,546,303"
GE11,2004,4 Mar 2004,21 Mar 2004,8,Abdullah Badawi,BN,198,219,72.95,"9,755,097"
GE12,2008,13 Feb 2008,8 Mar 2008,13,Abdullah Badawi,BN,140,222,75.38,"10,740,228"
GE13,2013,3 Apr 2013,5 May 2013,15,Najib Razak,BN,133,222,84.60,"13,268,002"
GE14,2018,7 Apr 2018,9 May 2018,11,Najib Razak,BN/PH,113,222,82.32,"14,940,624"
GE15,2022,10 Oct 2022,19 Nov 2022,14,Ismail Sabri,PH,82,222,74.13,"21,173,638"
