month,avg_close
1999-01,595.38
1999-02,558.76
1999-03,514.21
1999-04,601.97
1999-05,739.31
1999-06,779.55
1999-07,826.4
1999-08,741.15
1999-09,721.97
1999-10,730.03
1999-11,729.77
1999-12,765.58
2000-01,906.43
2000-02,993.16
2000-03,950.65
2000-04,917.82
2000-05,915.31
2000-06,845.37
2000-07,827.2
2000-08,808.17
2000-09,740.5
2000-10,747.29
2000-11,740.25
2000-12,716.88
2001-01,687.29
2001-02,718.64
2001-03,678.19
2001-04,581.54
2001-05,570.5
2001-06,585.5
2001-07,629.98
2001-08,663.89
2001-09,646.12
2001-10,611.75
2001-11,618.93
2001-12,667.3
2002-01,697.66
2002-02,714.46
2002-03,748.35
2002-04,781.01
2002-05,780.16
2002-06,741.31
2002-07,731.16
2002-08,726.11
2002-09,678.78
2002-10,646.7
2002-11,645.03
2002-12,635.85
2003-01,654.76
2003-02,656.97
2003-03,632.03
2003-04,630.82
2003-05,642.75
2003-06,683.19
2003-07,718.05
2003-08,731.18
2003-09,742.96
2003-10,781.3
2003-11,792.83
2003-12,785.45
2004-01,814.09
2004-02,840.61
2004-03,890.8
2004-04,871.08
2004-05,806.51
2004-06,817.79
2004-07,842.06
2004-08,816.75
2004-09,850.49
2004-10,855.0
2004-11,888.89
2004-12,906.65
2005-01,922.14
2005-02,911.05
2005-03,890.28
2005-04,870.8
2005-05,887.35
2005-06,887.8
2005-07,917.98
2005-08,931.53
2005-09,919.41
2005-10,918.36
2005-11,902.02
2005-12,894.21
2006-01,906.93
2006-02,925.35
2006-03,922.97
2006-04,942.07
2006-05,946.58
2006-06,908.8
2006-07,923.25
2006-08,943.47
2006-09,961.65
2006-10,976.4
2006-11,1030.75
2006-12,1084.87
2007-01,1144.25
2007-02,1246.02
2007-03,1196.62
2007-04,1303.13
2007-05,1351.58
2007-06,1366.18
2007-07,1373.7
2007-08,1277.98
2007-09,1300.0
2007-10,1375.92
2007-11,1380.95
2007-12,1419.96
2008-01,1438.55
2008-02,1402.48
2008-03,1234.95
2008-04,1256.82
2008-05,1280.21
2008-06,1221.84
2008-07,1137.17
2008-08,1102.63
2008-09,1040.55
2008-10,921.86
2008-11,882.33
2008-12,859.51
2009-01,899.06
2009-02,893.37
2009-03,862.6
2009-04,948.37
2009-05,1029.34
2009-06,1069.38
2009-07,1112.68
2009-08,1175.73
2009-09,1201.24
2009-10,1241.47
2009-11,1266.77
2009-12,1266.07
2010-01,1289.74
2010-02,1257.0
2010-03,1306.01
2010-04,1336.85
2010-05,1314.23
2010-06,1305.53
2010-07,1332.67
2010-08,1379.29
2010-09,1455.01
2010-10,1487.18
2010-11,1504.01
2010-12,1508.16
2011-01,1552.16
2011-02,1512.52
2011-03,1510.39
2011-04,1536.69
2011-05,1534.82
2011-06,1559.42
2011-07,1572.37
2011-08,1495.61
2011-09,1420.18
2011-10,1430.54
2011-11,1462.62
2011-12,1483.1
2012-01,1518.19
2012-02,1557.75
2012-03,1580.15
2012-04,1591.97
2012-05,1565.42
2012-06,1584.02
2012-07,1627.62
2012-08,1644.36
2012-09,1629.6
2012-10,1661.14
2012-11,1629.59
2012-12,1648.97
2013-01,1667.03
2013-02,1624.36
2013-03,1645.11
2013-04,1698.85
2013-05,1768.43
2013-06,1764.01
2013-07,1785.71
2013-08,1754.49
2013-09,1762.99
2013-10,1793.67
2013-11,1799.49
2013-12,1840.59
2014-01,1815.86
2014-02,1819.3
2014-03,1828.25
2014-04,1857.21
2014-05,1871.51
2014-06,1876.78
2014-07,1881.76
2014-08,1865.4
2014-09,1854.83
2014-10,1818.07
2014-11,1827.05
2014-12,1741.47
2015-01,1757.5
2015-02,1808.75
2015-03,1804.43
2015-04,1845.57
2015-05,1794.82
2015-06,1728.29
2015-07,1717.38
2015-08,1623.39
2015-09,1617.79
2015-10,1689.58
2015-11,1672.06
2015-12,1659.77
2016-01,1638.98
2016-02,1659.13
2016-03,1702.01
2016-04,1711.56
2016-05,1636.29
2016-06,1637.21
2016-07,1658.88
2016-08,1678.18
2016-09,1669.88
2016-10,1667.45
2016-11,1637.02
2016-12,1632.97
2017-01,1669.4
2017-02,1699.33
2017-03,1733.33
2017-04,1746.79
2017-05,1770.82
2017-06,1781.36
2017-07,1760.87
2017-08,1772.79
2017-09,1774.94
2017-10,1751.19
2017-11,1730.0
2017-12,1743.38
2018-01,1828.41
2018-02,1846.9
2018-03,1855.25
2018-04,1863.15
2018-05,1822.1
2018-06,1730.27
2018-07,1726.72
2018-08,1795.98
2018-09,1799.67
2018-10,1735.37
2018-11,1699.7
2018-12,1672.36
2019-01,1682.85
2019-02,1702.65
2019-03,1672.53
2019-04,1633.48
2019-05,1617.55
2019-06,1659.77
2019-07,1667.02
2019-08,1605.27
2019-09,1596.08
2019-10,1569.5
2019-11,1597.0
2019-12,1582.88
2020-01,1581.58
2020-02,1528.58
2020-03,1363.54
2020-04,1370.57
2020-05,1415.23
2020-06,1523.34
2020-07,1584.14
2020-08,1566.4
2020-09,1510.09
2020-10,1505.47
2020-11,1562.45
2020-12,1643.42
2021-01,1603.75
2021-02,1583.63
2021-03,1606.95
